"item_id","root_id","relative_path","filename","doc_class","proposed_action","legitimacy_status","freshness_status","archive_allowed"
"ITEM-003437","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\topics.json","topics.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003438","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\visual_map.json","visual_map.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003439","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\data\lexique.json","lexique.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003440","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\CHANGELOG.md","CHANGELOG.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003442","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2B_STATIC_PROTOTYPE_CHECKLIST.md","P27A2B_STATIC_PROTOTYPE_CHECKLIST.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003443","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2B_UX_REVIEW_NOTES.md","P27A2B_UX_REVIEW_NOTES.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003446","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2C_REVIEW_CHECKLIST.md","P27A2C_REVIEW_CHECKLIST.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003447","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2D_DIRECT_20260618_125004_ASSETS_VISUAL_INTEGRATED_UX_PROTOTYPE\docs\P27A2C_CHANGELOG.md","P27A2C_CHANGELOG.md","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003448","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\index.html","index.html","SCRIPT_OR_UI_SOURCE_TO_CLASSIFY","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003449","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2B_MANIFEST.json","P27A2B_MANIFEST.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003450","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2B_VALIDATION.json","P27A2B_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003451","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2C_VALIDATION.json","P27A2C_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003452","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2C_RECOVERY_ZIP_SUMMARY.json","P27A2C_RECOVERY_ZIP_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003453","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2C_RECOVERY_DOTNET_ZIP_SUMMARY.json","P27A2C_RECOVERY_DOTNET_ZIP_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003454","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2D_DIRECT_VALIDATION.json","P27A2D_DIRECT_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003455","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2D_DIRECT_SUMMARY.json","P27A2D_DIRECT_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003456","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2E1_RECOVERY_VALIDATION.json","P27A2E1_RECOVERY_VALIDATION.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
"ITEM-003457","ROOT_02_MVP_QAIC_MAIN_FOLDER","02_BUILD\LEXIQUE_READER_MVP\P27A2E1_20260618_125845_UX_TAXONOMY_REFINED_PROTOTYPE\P27A2E1_RECOVERY_SUMMARY.json","P27A2E1_RECOVERY_SUMMARY.json","DOC_SOURCE_TO_COMPARE","REVIEW_COMPARE","REVIEW_REQUIRED","CURRENT_OR_RECENT","NO_P203B1_GATE_ONLY"
